financebench_id,question,paraphrase
financebench_id_04481,What is the FY2022 unadjusted EBITDA % margin for PepsiCo? Calculate unadjusted EBITDA using unadjusted operating income and D&A (from cash flow statement). Give a response to the question by relying on the details shown in the statement of cash flows and the P&L statement.,"Using PepsiCo's cash flow statement and income statement, and computing unadjusted EBITDA from unadjusted operating income plus depreciation and amortization (per the cash flow statement), what was the resulting unadjusted EBITDA margin as a percentage for fiscal year 2022?"
financebench_id_04660,"Considering the data in the balance sheet, what is Block's (formerly known as Square) FY2016 working capital ratio? Define working capital ratio as total current assets divided by total current liabilities. Round your answer to two decimal places.","Using the balance sheet figures, calculate Block's (previously Square) working capital ratio for fiscal year 2016, where the ratio equals total current assets divided by total current liabilities, and provide the result rounded to two decimal places."
financebench_id_04672,Assume that you are a public equities analyst. Answer the following question by primarily using information that is shown in the balance sheet: what is the year end FY2018 net PPNE for 3M? Answer in USD billions.,"Acting in the role of a public equities analyst and relying mainly on the balance sheet, what was 3M's net property, plant and equipment at the close of fiscal year 2018, expressed in USD billions?"
financebench_id_04700,What is the FY2016 COGS for Microsoft? Please state answer in USD millions. Provide a response to the question by primarily using the statement of income.,"Using Microsoft's statement of income, what was the company's cost of goods sold for fiscal year 2016, expressed in millions of USD?"
financebench_id_04735,You are an investment banker and your only resource(s) to answer the following question is (are): the statement of financial position and the cash flow statement. Here's the question: what is the FY2015 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places.,"Acting as an investment banker with access only to the balance sheet and cash flow statement, determine Adobe's operating cash flow ratio for fiscal year 2015, calculated as cash from operations divided by total current liabilities, and give the result rounded to two decimal places."
financebench_id_04784,"Based on the information provided primarily in the statement of income, what is the FY2018 - FY2019 change in unadjusted operating income % margin for Walmart? Answer in units of percents and round to one decimal place.","Looking mainly at the income statement, how much did Walmart's unadjusted operating margin change from FY2018 to FY2019, expressed in percentage points rounded to one decimal place?"
financebench_id_04854,"According to the information provided in the statement of cash flows, what is the FY2020 free cash flow (FCF) for General Mills? FCF here is defined as: (cash from operations - capex). Answer in USD millions.","Based on General Mills' cash flow statement, what was its free cash flow (calculated as operating cash flow minus capital expenditures) for fiscal year 2020, expressed in millions of USD?"
financebench_id_04980,What is the FY2021 capital expenditure amount (in USD billions) for PepsiCo? Respond to the question by assuming the perspective of an investment analyst who can only use the details shown within the statement of cash flows.,"Using only the information presented in the statement of cash flows, and adopting the viewpoint of an investment analyst, what was PepsiCo's capital expenditure for fiscal year 2021, expressed in billions of USD?"
financebench_id_05718,How much (in USD billions) did American Water Works pay out in cash dividends for FY2020? Compute or extract the answer by primarily using the details outlined in the statement of cash flows.,"Using primarily the cash flow statement, determine the total amount, in billions of US dollars, that American Water Works distributed as cash dividends during fiscal year 2020."
financebench_id_05915,What is the FY2018 fixed asset turnover ratio for CVS Health? Fixed asset turnover ratio is defined as: FY2018 revenue / (average PP&E between FY2017 and FY2018). Round your answer to two decimal places. Calculate what was asked by utilizing the line items clearly shown in the P&L statement and the balance sheet.,"Using the P&L and balance sheet line items, calculate CVS Health's fixed asset turnover ratio for FY2018, where fixed asset turnover ratio is defined as FY2018 revenue divided by average PP&E across FY2017 and FY2018, and express the result rounded to two decimal places."
financebench_id_06247,What is FY2018 days payable outstanding (DPO) for Walmart? DPO is defined as: 365 * (average accounts payable between FY2017 and FY2018) / (FY2018 COGS + change in inventory between FY2017 and FY2018). Round your answer to two decimal places. Please base your judgments on the information provided primarily in the statement of financial position and the P&L statement.,"Calculate Walmart's days payable outstanding (DPO) for FY2018, using the formula: 365 * (average accounts payable across FY2017 and FY2018) / (FY2018 COGS plus the change in inventory from FY2017 to FY2018). Give your answer rounded to two decimal places, drawing mainly on data from the balance sheet and the income statement."
financebench_id_06272,What is Coca Cola's FY2022 dividend payout ratio (using total cash dividends paid and net income attributable to shareholders)? Round answer to two decimal places. Answer the question asked by assuming you only have access to information clearly displayed in the cash flow statement and the income statement.,"Based solely on figures found in the cash flow statement and income statement, what was Coca Cola's dividend payout ratio for fiscal year 2022, calculated as total cash dividends paid divided by net income attributable to shareholders? Express your answer rounded to two decimal places."
financebench_id_06655,What is Amazon's FY2017 days payable outstanding (DPO)? DPO is defined as: 365 * (average accounts payable between FY2016 and FY2017) / (FY2017 COGS + change in inventory between FY2016 and FY2017). Round your answer to two decimal places. Address the question by using the line items and information shown within the balance sheet and the P&L statement.,"Using the balance sheet and income statement figures, calculate Amazon's days payable outstanding (DPO) for fiscal year 2017, where DPO equals 365 multiplied by the average accounts payable across FY2016 and FY2017, divided by the sum of FY2017 COGS and the change in inventory from FY2016 to FY2017. Give the result rounded to two decimal places."
financebench_id_06741,What is the FY2018 - FY2020 3 year average unadjusted EBITDA % margin for Walmart? Define unadjusted EBITDA as unadjusted operating income + depreciation and amortization from the cash flow statement. Answer in units of percents and round to one decimal place. Calculate what was asked by utilizing the line items clearly shown in the P&L statement and the cash flow statement.,"For Walmart, what is the average unadjusted EBITDA margin, expressed as a percentage, across the three fiscal years FY2018 through FY2020? Define unadjusted EBITDA as unadjusted operating income plus depreciation and amortization sourced from the cash flow statement. Use the relevant line items from the P&L statement and the cash flow statement to compute this, and provide the answer as a percentage rounded to one decimal place."
financebench_id_07507,What is Adobe's year-over-year change in unadjusted operating income from FY2015 to FY2016 (in units of percents and round to one decimal place)? Give a solution to the question by using the income statement.,"Using the income statement, calculate the percentage change in Adobe's unadjusted operating income from FY2015 to FY2016, expressed as a percent rounded to one decimal place."
financebench_id_07661,"Using the cash flow statement, answer the following question to the best of your abilities: how much did Block (formerly known as Square) generate in cash flow from operating activities in FY2020? Answer in USD millions.","Based on the cash flow statement, what was the amount of cash generated from operating activities by Block (previously Square) during fiscal year 2020? Provide the answer in millions of USD."
financebench_id_07966,What is the FY2017 - FY2019 3 year average of capex as a % of revenue for Activision Blizzard? Answer in units of percents and round to one decimal place. Calculate (or extract) the answer from the statement of income and the cash flow statement.,"For Activision Blizzard, what was the average capital expenditure as a percentage of revenue over the three fiscal years FY2017-FY2019? Provide the answer in percents, rounded to one decimal place, calculating or extracting it from the income statement and the cash flow statement."
financebench_id_08135,What is Amazon's year-over-year change in revenue from FY2016 to FY2017 (in units of percents and round to one decimal place)? Calculate what was asked by utilizing the line items clearly shown in the statement of income.,"Using the figures reported on the income statement, calculate the percentage change in Amazon's revenue from fiscal year 2016 to fiscal year 2017, expressing the result as a percentage rounded to one decimal place."
financebench_id_08286,"By drawing conclusions from the information stated only in the income statement, what is Amazon's FY2019 net income attributable to shareholders (in USD millions)?","Based solely on the details provided in the income statement, what net income figure, attributable to shareholders, did Amazon report for fiscal year 2019, expressed in USD millions?"
financebench_id_09724,What is Coca Cola's FY2021 COGS % margin? Calculate what was asked by utilizing the line items clearly shown in the income statement.,"Using the figures presented directly in the income statement, determine Coca Cola's cost of goods sold as a percentage of revenue for fiscal year 2021."
financebench_id_10130,"Based on the information provided primarily in the balance sheet and the statement of income, what is FY2020 days payable outstanding (DPO) for Corning? DPO is defined as: 365 * (average accounts payable between FY2019 and FY2020) / (FY2020 COGS + change in inventory between FY2019 and FY2020). Round your answer to two decimal places.","Using data mainly from the balance sheet and income statement, calculate Corning's days payable outstanding (DPO) for FY2020, where DPO = 365 * (average accounts payable across FY2019 and FY2020) / (FY2020 COGS plus the change in inventory from FY2019 to FY2020). Give the result rounded to two decimal places."
financebench_id_10136,We want to calculate a financial metric. Please help us compute it by basing your answers off of the cash flow statement and the income statement. Here's the question: what is the FY2022 retention ratio (using total cash dividends paid and net income attributable to shareholders) for General Mills? Round answer to two decimal places.,"Using General Mills' income statement and cash flow statement, determine the company's retention ratio for FY2022, calculated from net income attributable to shareholders and total cash dividends paid, and express the result rounded to two decimal places."
financebench_id_10285,"We need to calculate a financial metric by using information only provided within the balance sheet. Please answer the following question: what is Boeing's year end FY2018 net property, plant, and equipment (in USD millions)?","Using only the data found in the balance sheet, determine the following: what was Boeing's net property, plant, and equipment, in millions of USD, at the close of fiscal year 2018?"
financebench_id_10420,"Based on the information provided primarily in the statement of financial position and the statement of income, what is AES's FY2022 return on assets (ROA)? ROA is defined as: FY2022 net income / (average total assets between FY2021 and FY2022). Round your answer to two decimal places.","Using data drawn mainly from the balance sheet and the income statement, calculate AES's return on assets (ROA) for fiscal year 2022, where ROA equals FY2022 net income divided by the average total assets across FY2021 and FY2022. Give your answer rounded to two decimal places."
financebench_id_10499,What is Kraft Heinz's FY2019 inventory turnover ratio? Inventory turnover ratio is defined as: (FY2019 COGS) / (average inventory between FY2018 and FY2019). Round your answer to two decimal places. Please base your judgments on the information provided primarily in the balance sheet and the P&L statement.,"Using figures mainly from the balance sheet and income statement, calculate Kraft Heinz's inventory turnover for FY2019, where the ratio equals FY2019 cost of goods sold divided by the average of inventory at the end of FY2018 and FY2019, and express the result rounded to two decimal places."
